Countries	Cat	Quality_of_opportunities	Income	Future_prospects	Family_environment	Skills_environment	Inclusiveness	Quality_of_life	Penalty
Japan	Workers	0.242	0.493	0.830	0.398	0.628	0.556	0.577	0.975
Korea	Workers	0.404	0.591	0.735	0.507	0.697	0.484	0.517	0.975
Latvia	Workers	0.888	0.397	0.681	0.379	0.328	0.413	0.410	0.975
Luxembourg	Workers	0.827	0.331	0.374	0.496	0.503	0.716	0.699	1.000
Mexico	Workers	0.632	0.596	0.500	0.500	0.062	0.128	0.281	0.975
Netherlands	Workers	0.569	0.503	0.631	0.703	0.558	0.491	0.739	0.975
New Zealand	Workers	0.744	0.507	0.642	0.670	0.479	0.668	0.689	0.950
Norway	Workers	0.663	0.336	0.554	0.660	0.545	0.543	0.788	0.950
Poland	Workers	0.635	0.574	0.408	0.433	0.353	0.421	0.494	0.950
Portugal	Workers	0.731	0.382	0.787	0.613	0.348	0.424	0.479	0.975
Slovak Republic	Workers	0.863	0.461	0.678	0.632	0.377	0.336	0.476	0.975
Slovenia	Workers	0.833	0.461	0.784	0.580	0.437	0.451	0.607	1.000
Spain	Workers	0.461	0.384	0.677	0.661	0.332	0.374	0.563	0.975
Sweden	Workers	0.639	0.331	0.630	0.652	0.617	0.627	0.752	1.000
Switzerland	Workers	0.621	0.467	0.421	0.619	0.547	0.773	0.762	1.000
Turkey	Workers	0.853	0.472	0.145	0.374	0.178	0.281	0.314	0.950
United Kingdom	Workers	0.751	0.398	0.566	0.814	0.585	0.384	0.667	0.925
United States	Workers	0.852	0.673	0.509	0.616	0.764	0.480	0.746	0.900
